2019/20,1798,4297536
2021/22,1409,7883389
2021/22,707,8896628
2021/22,1578,6862384
2019/20,1713,5174458
2020/21,1887,3704874
2021/22,1800,4799454
2021/22,734,8882912
2021/22,1411,7878327
2021/22,1442,7727440
2021/22,1156,8547405
2019/20,1875,3391159
2020/21,1631,5779906
2016/17,1638,2865357
2017/18,1327,5187729
2018/19,1873,3382518
2019/20,1684,5425645
2021/22,1681,5983092
2021/22,1684,5956510
2021/22,1685,5943839
2019/20,830,7268053
2020/21,690,7954751
2021/22,960,8739008
2021/22,1669,6090664
2021/22,1144,8563958
2020/21,1576,6134867
2021/22,1941,3361682
2021/22,1473,7566317
2021/22,1380,8006770
2017/18,597,5717061
2018/19,1193,5831494
2019/20,1899,3099078
2020/21,1821,4311283
2010/11,1745,845598
2011/12,1531,1890239
2013/14,1303,2938760
2014/15,1774,1248604
2015/16,2110,193228
2016/17,1698,2502249
2017/18,1728,3363023
2018/19,2154,474922
2019/20,1834,3884005
2020/21,1607,5937505
2021/22,1841,4379524
2019/20,1723,5088353
2020/21,2011,2516584
2021/22,1709,5718205
2018/19,1487,5470674
2019/20,1876,3376374
2020/21,1823,4294993
2021/22,2016,2647694
2021/22,1809,4708665
2020/21,1779,4667873
2021/22,1639,6360461
2020/21,1500,6560567
2021/22,1712,5681961
2021/22,1897,3799080
2020/21,695,7950841
2021/22,1394,7949091
2021/22,1619,6534104
2019/20,1622,5869099
2021/22,1886,3910916
2017/18,1421,4994736
2019/20,1302,6881339
2020/21,1020,7712447
2021/22,1720,5612935
2008/09,562,1859468
2009/10,1950,559367
2010/11,1718,953542
2011/12,1638,1503086
2012/13,1769,1136219
2013/14,1873,1496205
2014/15,1693,1656624
2015/16,1617,2516652
2016/17,1854,1464023
2017/18,1805,2772395
2018/19,2024,1594775
2019/20,1753,4789193
2020/21,1630,5783517
2021/22,1625,6480394
2020/21,1612,5906369
2021/22,1719,5620029
2019/20,1250,6948618
2020/21,1721,5134745
2019/20,1835,3870121
2021/22,1854,4242452
2021/22,339,9044805
2020/21,1966,2947340
2021/22,1357,8094506
2019/20,1208,6993680
2020/21,243,8168592
2020/21,1554,6260902
2019/20,2020,1675238
2020/21,1947,3132502
2021/22,1441,7736562
2021/22,1824,4560535
2013/14,405,3183729
2016/17,1409,3772686
2017/18,1098,5432744
2020/21,1629,5796465
2021/22,1605,6652625
2021/22,1951,3260228
2020/21,1581,6103856
2021/22,1796,4844889
2018/19,1447,5547989
2019/20,566,7398757
2020/21,1169,7541364
2021/22,1638,6371735
2017/18,1518,4666456
2020/21,1455,6781911
2021/22,1658,6188625
2021/22,1224,8443355
2021/22,1304,8262515
2019/20,470,7461049
2020/21,989,7740361
2021/22,1774,5065210
2020/21,1775,4700688
2020/21,1888,3696526
2021/22,1458,7643774
2020/21,1391,7039227
2021/22,1643,6323847
2021/22,1619,6536242
2020/21,1351,7171465
2021/22,1491,7459760
2020/21,1861,3948840
2021/22,1767,5136651
2020/21,1398,7014123
2020/21,1412,6963381
2021/22,1459,7638462
2021/22,1491,7457005
2018/19,1365,5672569
2019/20,1236,6964884
2020/21,1953,3074097
2021/22,1944,3328680
2016/17,1746,2191874
2017/18,2119,392822
2019/20,1756,4758211
2021/22,637,8927908
2020/21,1645,5687834
2021/22,1733,5485913
2015/16,1677,2305460
2016/17,1686,2578057
2018/19,1863,3490208
2019/20,1737,4950347
2020/21,798,7880457
2021/22,1218,8454005
2021/22,1257,8376614
2021/22,386,9028419
2018/19,1515,5405123
2019/20,1765,4669187
2020/21,1838,4162115
2021/22,1719,5621404
2014/15,1199,3265465
2017/18,1538,4577808
2019/20,1904,3033442
2021/22,1480,7524361
2021/22,1559,7007930
2021/22,345,9042712
2020/21,1986,2754217
2021/22,1832,4473929
2021/22,1729,5520165
2021/22,1706,5748293
2021/22,1721,5602124
2010/11,1356,2028002
2011/12,1600,1650303
2012/13,1956,346552
2013/14,2107,615569
2014/15,1805,1083287
2015/16,1809,1738016
2016/17,1546,3327713
2019/20,2030,1566678
2020/21,1983,2781363
2020/21,1155,7560290
2021/22,1618,6542945
2021/22,2019,2615330
2021/22,678,8909694
2020/21,1957,3039843
2021/22,1597,6709829
2017/18,751,5631333
2018/19,1859,3529676
2019/20,1688,5389953
2021/22,1704,5764865
2021/22,981,8723411
2021/22,1551,7063195
2020/21,520,8050372
2021/22,1164,8537621
2021/22,1515,7307175
2020/21,1730,5067010
2021/22,1678,6012878
2018/19,618,6141311
2019/20,1895,3148143
2020/21,1611,5914162
2021/22,1911,3658316
2019/20,1823,4007610
2016/17,1552,3301463
2018/19,1760,4364621
2020/21,1606,5945094
2019/20,531,7419376
2021/22,797,8847309
2021/22,1901,3763291
2021/22,1838,4407446
2021/22,202,9083508
2017/18,2000,1176886
2018/19,2037,1454317
2019/20,2128,695550
2020/21,1111,7613667
2021/22,2143,1592826
2020/21,1161,7552188
2021/22,1723,5581533
2018/19,2011,1745549
2020/21,1622,5840736
2021/22,1908,3690539
2021/22,1645,6306285
2020/21,1267,7378791
2020/21,452,8081310
2018/19,1706,4691913
2020/21,1866,3907143
2021/22,1664,6140563
2020/21,1723,5116137
2021/22,1531,7204201
2020/21,1573,6153184
2019/20,1907,2997262
2020/21,1962,2992114
2021/22,1801,4795317
2019/20,1258,6940048
2020/21,1330,7231147
2021/22,1560,6995426
2021/22,160,9093747
2021/22,920,8768815
2017/18,796,5607794
2018/19,1680,4830885
2019/20,1830,3934943
2020/21,1958,3026602
2021/22,1823,4570665
2020/21,680,7961218
2021/22,1602,6676739
2020/21,1777,4686259
2021/22,1773,5082797
2020/21,1251,7410068
2021/22,1916,3603994
2019/20,255,7562382
2020/21,1614,5893814
2021/22,1258,8374338
2021/22,1592,6757312
2017/18,1859,2352592
2018/19,1830,3804299
2019/20,1756,4753226
2020/21,1028,7703472
2021/22,753,8872267
2017/18,1785,2930332
2018/19,1985,2067592
2019/20,2080,1084446
2020/21,2063,2024826
2021/22,2008,2719949
2017/18,1607,4204226
2018/19,1797,4089433
2019/20,1876,3375852
2020/21,1920,3393094
2021/22,1994,2844793
2020/21,761,7905933
2021/22,1798,4820047
2016/17,1377,3839124
2017/18,1776,2994589
2018/19,1675,4852836
2019/20,1250,6948618
2020/21,870,7833685
2021/22,1778,5028671
2017/18,1762,3101698
2018/19,1845,3664957
2019/20,1747,4845695
2020/21,1620,5851752
2021/22,1427,7803248
2021/22,1649,6268840
2019/20,1107,7080009
2020/21,1797,4519035
2021/22,1371,8041068
2019/20,1462,6563658
2020/21,1819,4325047
2021/22,1582,6831009
2020/21,1710,5218417
2021/22,1743,5379675
2020/21,1188,7514963
2021/22,2002,2776318
2021/22,1071,8643984
2020/21,872,7832403
2021/22,456,9001675
2018/19,1835,3755418
2021/22,1645,6310487
2016/17,1503,3502729
2017/18,1896,2047592
2018/19,1853,3590738
2021/22,1978,3001541
2021/22,1527,7234300
2020/21,1796,4523215
2021/22,1630,6440215
2021/22,838,8822036
2021/22,1417,7847717
2020/21,1796,4528592
2020/21,1823,4291941
2021/22,1569,6928099
2021/22,1905,3724278
2017/18,1983,1312160
2018/19,1929,2749492
2019/20,1768,4631161
2020/21,1742,4966780
2018/19,1862,3499177
2019/20,1992,1984802
2020/21,1823,4291709
2021/22,1718,5629900
2020/21,1012,7720031
2020/21,1642,5707580
2021/22,1751,5305762
2019/20,1517,6386200
2020/21,1328,7237985
2017/18,762,5625652
2018/19,1654,4948365
2019/20,1708,5222600
2020/21,1879,3782582
2021/22,1432,7777025
2019/20,1223,6977841
2020/21,1644,5693592
2021/22,1713,5677818
2020/21,1754,4875981
2021/22,1640,6353601
2020/21,1937,3230491
2019/20,1320,6856457
2020/21,1721,5136259
2021/22,1573,6903964
2019/20,411,7500062
2020/21,1770,4744542
2021/22,1971,3064371
2019/20,878,7239402
2020/21,696,7950173
2021/22,1864,4145361
2014/15,1726,1493731
2015/16,1943,972269
2016/17,1894,1206727
2017/18,1912,1916210
2018/19,1829,3816780
2019/20,1876,3376374
2020/21,1845,4096209
2021/22,1617,6551810
2021/22,1622,6505481
2019/20,1333,6835127
2017/18,1734,3318116
2018/19,1910,2968957
2019/20,1117,7071817
2020/21,1257,7398775
2021/22,1163,8537968
2021/22,974,8728843
2019/20,1245,6954382
2020/21,685,7958169
2021/22,1604,6660980
2021/22,1575,6887561
2021/22,1419,7841626
2020/21,775,7896347
2021/22,1751,5307135
2021/22,1433,7776004
2020/21,1868,3881992
2016/17,703,4328758
2019/20,1709,5212392
2019/20,1217,6984699
2020/21,1824,4280034
2019/20,1007,7154557
2021/22,1960,3172942
2020/21,1848,4065231
2021/22,1974,3039308
2017/18,1492,4773498
2020/21,1584,6080343
2019/20,1707,5232406
2020/21,2104,1657812
2021/22,2009,2709022
2021/22,1363,8068508
2021/22,1464,7615550
2021/22,997,8709801
2014/15,1379,2966488
2015/16,1817,1697199
2016/17,1579,3176380
2017/18,1542,4555435
2018/19,1901,3074623
2019/20,1825,3986581
2020/21,1622,5840160
2021/22,1305,8257690
2017/18,1955,1551451
2018/19,1487,5470240
2019/20,1706,5234938
2020/21,1371,7107184
2018/19,1827,3837434
2019/20,1804,4229205
2020/21,2054,2113828
2021/22,1941,3356172
2021/22,1568,6938637
2020/21,1112,7613272
2021/22,1311,8242820
2017/18,1685,3677257
2018/19,307,6247006
2019/20,1608,5953560
2020/21,1420,6932506
2016/17,1441,3694314
2017/18,1905,1971715
2019/20,1711,5195083
2021/22,1503,7383603
2021/22,1570,6920602
2019/20,1728,5036983
2020/21,1501,6557595
2019/20,974,7177308
2021/22,1814,4657526
2021/22,1215,8458409
2018/19,1358,5681037
2019/20,1720,5111450
2020/21,1768,4764017
2021/22,1479,7532855
2015/16,1974,790837
2016/17,1979,708879
2017/18,1916,1882252
2018/19,1913,2942720
2019/20,2072,1153466
2020/21,2045,2193496
2021/22,1732,5494037
2020/21,1493,6600580
2021/22,1606,6636778
2020/21,1585,6074072
2018/19,1659,4924474
2019/20,842,7261204
2020/21,1528,6413697
2016/17,2000,606926
2017/18,1750,3195935
2019/20,180,7580274
2020/21,1905,3535101
2020/21,1009,7723024
2021/22,1571,6919492
2020/21,1770,4746650
2021/22,1720,5610093
2021/22,1929,3477302
2018/19,1625,5066914
2019/20,1586,6076453
2020/21,1483,6645866
2021/22,1650,6259701
2020/21,2026,2369257
2021/22,1606,6640337
2021/22,1628,6460004
2020/21,1510,6511017
2021/22,2137,1639582
2018/19,1125,5876369
2019/20,2005,1836799
2020/21,1815,4359936
2021/22,1938,3386231
2019/20,1218,6982910
2020/21,1663,5556042
2020/21,1787,4598000
2021/22,1875,4024581
2020/21,1333,7221464
2020/21,1732,5049771
2020/21,1630,5788570
2021/22,1865,4128824
2020/21,1612,5907272
2019/20,2168,447147
2020/21,2221,776206
2021/22,710,8895242
2020/21,845,7850468
2020/21,1734,5035680
2021/22,2052,2328389
2019/20,176,7581446
2018/19,349,6236567
2019/20,1797,4312887
2020/21,1459,6762645
2021/22,1417,7847717
2019/20,1805,4226844
2018/19,1692,4765738
2020/21,1754,4871823
2021/22,1554,7045043
2020/21,1641,5714829
2021/22,1856,4225490
2017/18,1546,4538279
2018/19,1745,4464966
2019/20,1889,3210350
2020/21,1752,4886329
2020/21,1733,5042811
2021/22,484,8990721
2021/22,1458,7647348
2021/22,498,8984983
2021/22,1237,8419348
2018/19,2066,1152249
2019/20,2021,1666736
2020/21,1998,2640716
2021/22,1733,5484425
2017/18,1529,4622026
2019/20,1702,5275255
2020/21,1851,4044823
2021/22,1634,6406152
2020/21,1951,3095683
2021/22,830,8827551
2021/22,433,9010823
2018/19,404,6219887
2020/21,1364,7131711
2021/22,1571,6915883
2016/17,1426,3731017
2017/18,1505,4720296
2018/19,1948,2520399
2019/20,2049,1375144
2020/21,2050,2145095
2021/22,1887,3904419
2021/22,1799,4811362
2011/12,2014,140852
2012/13,2090,75566
2013/14,2196,304818
2014/15,1952,365632
2015/16,1899,1237279
2016/17,2094,256275
2017/18,2139,309738
2018/19,2337,29341
2019/20,2170,437248
2020/21,1985,2766077
2021/22,1684,5951346
2021/22,1247,8397892
2019/20,1861,3556854
2020/21,1519,6463400
2021/22,1870,4076973
2019/20,1572,6150944
2020/21,1643,5701234
2021/22,1583,6823569
2017/18,633,5697510
2020/21,952,7772221
2021/22,1489,7473733
2021/22,971,8730632
2021/22,1518,7293340
2021/22,1542,7130511
2021/22,1129,8582295
2021/22,1384,7991717
2021/22,1840,4393373
2013/14,1490,2609096
2014/15,1391,2936193
2015/16,1343,3325805
2016/17,1807,1782740
